,video_file,anchor,sample1,sample2,selected
0,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(8930, 8990)","(28481, 28541)","(208012, 208072)",0
1,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(95229, 95289)","(163377, 163437)","(208018, 208078)",0
2,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(42361, 42421)","(158342, 158402)","(58434, 58494)",1
3,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(1292, 1352)","(207747, 207807)","(207494, 207554)",0
4,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(169176, 169236)","(183, 243)","(45304, 45364)",0
5,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(58845, 58905)","(42529, 42589)","(160501, 160561)",0
6,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(4315, 4375)","(60395, 60455)","(19907, 19967)",0
7,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(2505, 2565)","(42297, 42357)","(6913, 6973)",0
8,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(18867, 18927)","(134355, 134415)","(63525, 63585)",0
9,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(3406, 3466)","(6538, 6598)","(169211, 169271)",0
10,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(1435, 1495)","(42462, 42522)","(158114, 158174)",1
11,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(2478, 2538)","(96445, 96505)","(39167, 39227)",1
12,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(95412, 95472)","(134065, 134125)","(5488, 5548)",1
13,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(43629, 43689)","(26859, 26919)","(50425, 50485)",1
14,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(426, 486)","(67729, 67789)","(94423, 94483)",0
15,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(95385, 95445)","(98872, 98932)","(208412, 208472)",0
16,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(4289, 4349)","(42377, 42437)","(110603, 110663)",2
17,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(4389, 4449)","(45735, 45795)","(42526, 42586)",0
