,video_file,anchor,sample1,sample2,selected
0,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(215278, 215338)","(103654, 103714)","(247205, 247265)",0
1,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(79118, 79178)","(216956, 217016)","(71338, 71398)",0
2,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(261608, 261668)","(246169, 246229)","(164543, 164603)",1
3,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(105045, 105105)","(73744, 73804)","(48290, 48350)",0
4,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(268154, 268214)","(122768, 122828)","(79623, 79683)",0
5,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(217841, 217901)","(78734, 78794)","(127770, 127830)",1
6,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(266086, 266146)","(4983, 5043)","(382, 442)",0
7,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(5078, 5138)","(179294, 179354)","(131391, 131451)",0
8,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(255626, 255686)","(210412, 210472)","(4120, 4180)",0
9,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(68313, 68373)","(54943, 55003)","(105158, 105218)",0
10,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(215434, 215494)","(83864, 83924)","(72154, 72214)",0
11,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(79640, 79700)","(246904, 246964)","(105521, 105581)",2
12,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(4136, 4196)","(256920, 256980)","(56442, 56502)",0
13,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(111657, 111717)","(47397, 47457)","(267480, 267540)",2
14,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(23650, 23710)","(239387, 239447)","(71209, 71269)",0
15,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(26448, 26508)","(84072, 84132)","(210014, 210074)",1
16,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(15696, 15756)","(255011, 255071)","(69698, 69758)",1
17,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(26497, 26557)","(109493, 109553)","(111293, 111353)",0
18,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(14883, 14943)","(210216, 210276)","(206054, 206114)",0
19,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(264538, 264598)","(242198, 242258)","(212513, 212573)",0
,video_file,anchor,sample1,sample2,selected
0,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(24821, 24881)","(17420, 17480)","(289, 349)",2
1,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(79961, 80021)","(54362, 54422)","(124167, 124227)",0
2,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(100612, 100672)","(66847, 66907)","(120898, 120958)",2
3,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(77781, 77841)","(212584, 212644)","(179177, 179237)",0
4,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(164083, 164143)","(119958, 120018)","(119771, 119831)",0
5,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(25985, 26045)","(80352, 80412)","(72876, 72936)",0
6,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(75272, 75332)","(71124, 71184)","(243712, 243772)",2
7,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(74677, 74737)","(179804, 179864)","(243323, 243383)",0
8,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(210268, 210328)","(179511, 179571)","(2749, 2809)",0
9,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(149782, 149842)","(129079, 129139)","(206051, 206111)",0
10,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(26210, 26270)","(272607, 272667)","(14994, 15054)",1
11,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(109314, 109374)","(79842, 79902)","(122773, 122833)",0
12,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(68006, 68066)","(77804, 77864)","(266503, 266563)",2
13,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(254150, 254210)","(19166, 19226)","(23346, 23406)",0
14,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(59419, 59479)","(48718, 48778)","(272263, 272323)",0
15,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(127739, 127799)","(131466, 131526)","(271060, 271120)",0
16,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(111838, 111898)","(262166, 262226)","(267439, 267499)",0
17,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(215268, 215328)","(130595, 130655)","(77196, 77256)",0
18,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(50087, 50147)","(26014, 26074)","(212635, 212695)",2
19,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(109161, 109221)","(246170, 246230)","(123032, 123092)",0
,video_file,anchor,sample1,sample2,selected
0,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(14644, 14704)","(5490, 5550)","(54238, 54298)",0
1,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(71317, 71377)","(120800, 120860)","(52706, 52766)",2
2,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(268815, 268875)","(209967, 210027)","(107186, 107246)",0
3,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(130902, 130962)","(179424, 179484)","(69679, 69739)",1
4,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(290176, 290236)","(21193, 21253)","(125540, 125600)",0
5,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(66504, 66564)","(180063, 180123)","(177911, 177971)",1
6,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(55438, 55498)","(80350, 80410)","(1567, 1627)",0
7,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(1226, 1286)","(75562, 75622)","(210215, 210275)",0
8,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(77815, 77875)","(162538, 162598)","(83114, 83174)",0
9,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(122980, 123040)","(68120, 68180)","(177943, 178003)",0
10,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(23311, 23371)","(72148, 72208)","(127050, 127110)",1
11,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(164521, 164581)","(149625, 149685)","(264499, 264559)",2
12,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(240562, 240622)","(270140, 270200)","(212516, 212576)",1
13,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(124234, 124294)","(26278, 26338)","(15994, 16054)",0
14,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(17450, 17510)","(271011, 271071)","(262736, 262796)",0
15,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(55443, 55503)","(79669, 79729)","(118612, 118672)",0
