,video_file,anchor,sample1,sample2,selected
0,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(97328, 97388)","(92560, 92620)","(93072, 93132)",0
1,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(187331, 187391)","(2432, 2492)","(180573, 180633)",1
2,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(8933, 8993)","(179292, 179352)","(185631, 185691)",1
3,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(89021, 89081)","(10211, 10271)","(5209, 5269)",0
4,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(7036, 7096)","(11605, 11665)","(21175, 21235)",0
5,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(93139, 93199)","(2078, 2138)","(404, 464)",1
6,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(95598, 95658)","(44630, 44690)","(180512, 180572)",0
7,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(192288, 192348)","(84768, 84828)","(3890, 3950)",2
8,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(30555, 30615)","(1398, 1458)","(10461, 10521)",0
9,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(2049, 2109)","(5295, 5355)","(137986, 138046)",0
10,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(11560, 11620)","(108117, 108177)","(178576, 178636)",0
11,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(1405, 1465)","(92366, 92426)","(45661, 45721)",0
12,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(30583, 30643)","(41915, 41975)","(85440, 85500)",0
13,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(10378, 10438)","(6914, 6974)","(88010, 88070)",0
14,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(91160, 91220)","(1334, 1394)","(85613, 85673)",0
15,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(122543, 122603)","(185650, 185710)","(20405, 20465)",0
16,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(92535, 92595)","(178670, 178730)","(2748, 2808)",0
17,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(85628, 85688)","(30570, 30630)","(180563, 180623)",0
18,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(123157, 123217)","(123155, 123215)","(12430, 12490)",0
19,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(4130, 4190)","(89023, 89083)","(180581, 180641)",1
,video_file,anchor,sample1,sample2,selected
0,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(182709, 182769)","(92865, 92925)","(98142, 98202)",2
1,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(10185, 10245)","(52778, 52838)","(84301, 84361)",0
2,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(7800, 7860)","(93477, 93537)","(118616, 118676)",0
3,/home/orel/Storage/Data/K7/2020-08-04/Down/0037.MP4,"(10568, 10628)","(122085, 122145)","(177362, 177422)",0
