CMDLINE /home/shuki/anaconda3/envs/torch/bin/python3.8 triplets_gui.py
MEM 1.832031 1616577472.7277
MEM 28.671875 1616577472.8281
MEM 45.941406 1616577472.9284
MEM 113.277344 1616577473.0286
MEM 136.281250 1616577473.1288
MEM 188.285156 1616577473.2293
MEM 245.269531 1616577473.3296
MEM 268.035156 1616577473.4298
MEM 282.777344 1616577473.5301
MEM 301.257812 1616577473.6303
MEM 322.757812 1616577473.7306
MEM 441.468750 1616577473.8308
MEM 449.320312 1616577473.9310
MEM 457.167969 1616577474.0313
MEM 465.015625 1616577474.1315
MEM 472.867188 1616577474.2318
MEM 480.925781 1616577474.3321
MEM 488.917969 1616577474.4323
MEM 496.910156 1616577474.5326
MEM 504.644531 1616577474.6329
MEM 512.636719 1616577474.7331
MEM 520.371094 1616577474.8334
MEM 528.363281 1616577474.9336
MEM 449.871094 1616577475.0338
MEM 449.871094 1616577475.1341
MEM 450.105469 1616577475.2343
MEM 450.105469 1616577475.3346
MEM 450.105469 1616577475.4348
MEM 450.105469 1616577475.5350
MEM 451.957031 1616577475.6352
MEM 452.472656 1616577475.7355
MEM 455.050781 1616577475.8357
MEM 458.144531 1616577475.9359
MEM 459.949219 1616577476.0362
MEM 463.042969 1616577476.1365
MEM 463.042969 1616577476.2367
MEM 464.589844 1616577476.3369
MEM 464.589844 1616577476.4372
MEM 467.679688 1616577476.5374
MEM 469.226562 1616577476.6377
MEM 469.226562 1616577476.7379
MEM 472.578125 1616577476.8382
MEM 472.578125 1616577476.9384
MEM 474.125000 1616577477.0386
MEM 474.125000 1616577477.1389
MEM 477.218750 1616577477.2392
MEM 481.859375 1616577477.3394
MEM 486.757812 1616577477.4396
MEM 488.304688 1616577477.5399
MEM 492.945312 1616577477.6401
MEM 497.585938 1616577477.7404
MEM 500.937500 1616577477.8407
MEM 507.125000 1616577477.9409
MEM 510.218750 1616577478.0412
MEM 512.023438 1616577478.1414
MEM 515.117188 1616577478.2417
MEM 516.664062 1616577478.3419
MEM 521.304688 1616577478.4421
MEM 529.296875 1616577478.5423
MEM 530.843750 1616577478.6426
MEM 533.937500 1616577478.7428
MEM 533.937500 1616577478.8431
MEM 535.484375 1616577478.9433
MEM 538.835938 1616577479.0436
MEM 584.898438 1616577479.1439
MEM 627.679688 1616577479.2441
MEM 627.125000 1616577479.3444
MEM 627.859375 1616577479.4446
MEM 632.660156 1616577479.5449
MEM 640.511719 1616577479.6452
MEM 648.757812 1616577479.7454
MEM 656.492188 1616577479.8457
MEM 664.484375 1616577479.9459
MEM 672.476562 1616577480.0462
MEM 680.210938 1616577480.1464
MEM 688.203125 1616577480.2467
MEM 695.937500 1616577480.3470
MEM 623.445312 1616577480.4472
MEM 623.445312 1616577480.5474
MEM 623.445312 1616577480.6477
MEM 623.445312 1616577480.7479
MEM 623.445312 1616577480.8482
MEM 623.445312 1616577480.9484
MEM 623.445312 1616577481.0486
MEM 623.445312 1616577481.1489
MEM 624.730469 1616577481.2491
MEM 627.824219 1616577481.3494
MEM 629.371094 1616577481.4496
MEM 632.722656 1616577481.5499
MEM 632.722656 1616577481.6501
MEM 634.269531 1616577481.7503
MEM 634.269531 1616577481.8506
MEM 637.363281 1616577481.9508
MEM 638.910156 1616577482.0510
MEM 638.910156 1616577482.1513
MEM 642.003906 1616577482.2515
MEM 642.003906 1616577482.3518
MEM 643.808594 1616577482.4520
MEM 643.808594 1616577482.5523
MEM 646.902344 1616577482.6525
MEM 651.542969 1616577482.7527
MEM 656.441406 1616577482.8529
MEM 657.988281 1616577482.9532
MEM 662.628906 1616577483.0535
MEM 667.269531 1616577483.1537
MEM 670.621094 1616577483.2540
MEM 676.808594 1616577483.3542
MEM 679.902344 1616577483.4545
MEM 679.902344 1616577483.5547
MEM 684.800781 1616577483.6550
MEM 686.347656 1616577483.7552
MEM 689.441406 1616577483.8554
MEM 695.628906 1616577483.9557
MEM 700.527344 1616577484.0559
MEM 703.621094 1616577484.1562
MEM 703.621094 1616577484.2564
MEM 705.167969 1616577484.3567
MEM 705.167969 1616577484.4569
MEM 708.261719 1616577484.5572
MEM 858.597656 1616577484.6574
MEM 858.597656 1616577484.7577
MEM 858.597656 1616577484.8579
MEM 858.597656 1616577484.9582
MEM 858.597656 1616577485.0585
MEM 732.640625 1616577485.1588
MEM 728.050781 1616577485.2591
MEM 925.953125 1616577485.3594
MEM 1238.937500 1616577485.4597
MEM 1370.703125 1616577485.5600
MEM 1397.121094 1616577485.6602
MEM 1489.210938 1616577485.7605
MEM 1589.117188 1616577485.8607
MEM 1696.835938 1616577485.9610
MEM 1823.121094 1616577486.0612
MEM 1933.148438 1616577486.1616
MEM 2007.164062 1616577486.2619
MEM 2087.332031 1616577486.3621
MEM 2153.332031 1616577486.4624
MEM 2153.332031 1616577486.5626
MEM 2183.332031 1616577486.6629
MEM 2211.332031 1616577486.7632
MEM 2275.281250 1616577486.8634
MEM 2339.218750 1616577486.9637
MEM 2339.218750 1616577487.0640
MEM 2343.218750 1616577487.1642
MEM 2347.218750 1616577487.2645
MEM 2347.218750 1616577487.3647
MEM 2353.218750 1616577487.4650
MEM 2353.218750 1616577487.5653
MEM 2361.218750 1616577487.6655
MEM 2365.218750 1616577487.7658
MEM 2367.218750 1616577487.8660
MEM 2367.218750 1616577487.9663
MEM 2367.218750 1616577488.0666
MEM 2367.218750 1616577488.1669
MEM 2371.218750 1616577488.2671
MEM 2373.218750 1616577488.3673
MEM 2379.218750 1616577488.4676
MEM 2387.218750 1616577488.5678
MEM 2401.218750 1616577488.6681
MEM 2403.218750 1616577488.7684
MEM 2417.273438 1616577488.8686
MEM 2433.257812 1616577488.9689
MEM 2488.945312 1616577489.0692
MEM 2527.101562 1616577489.1694
MEM 2527.101562 1616577489.2697
MEM 2527.101562 1616577489.3700
MEM 2527.101562 1616577489.4702
MEM 2527.101562 1616577489.5704
MEM 2527.101562 1616577489.6708
MEM 2527.101562 1616577489.7710
MEM 2527.101562 1616577489.8713
MEM 2527.101562 1616577489.9715
MEM 2527.101562 1616577490.0718
MEM 2529.164062 1616577490.1720
MEM 2529.164062 1616577490.2723
MEM 2529.164062 1616577490.3726
MEM 2529.164062 1616577490.4728
MEM 2529.164062 1616577490.5730
MEM 2529.164062 1616577490.6733
MEM 2529.164062 1616577490.7735
MEM 2529.164062 1616577490.8738
MEM 2529.164062 1616577490.9740
MEM 2529.164062 1616577491.0743
MEM 2529.164062 1616577491.1746
MEM 2529.164062 1616577491.2748
MEM 2529.164062 1616577491.3751
MEM 2529.164062 1616577491.4753
MEM 2529.164062 1616577491.5756
MEM 2529.164062 1616577491.6759
MEM 2529.164062 1616577491.7762
MEM 2529.164062 1616577491.8764
MEM 2529.164062 1616577491.9767
MEM 2529.164062 1616577492.0770
MEM 2529.164062 1616577492.1772
MEM 2529.164062 1616577492.2775
MEM 2591.296875 1616577492.3777
MEM 2591.296875 1616577492.4780
MEM 2591.296875 1616577492.5782
MEM 2591.296875 1616577492.6785
MEM 2591.296875 1616577492.7788
MEM 2591.296875 1616577492.8791
MEM 2593.101562 1616577492.9793
MEM 2595.101562 1616577493.0796
MEM 2595.101562 1616577493.1799
MEM 2595.101562 1616577493.2801
MEM 2595.101562 1616577493.3804
MEM 2595.101562 1616577493.4806
MEM 2595.101562 1616577493.5808
MEM 2595.101562 1616577493.6811
MEM 2595.101562 1616577493.7814
MEM 2595.101562 1616577493.8816
MEM 2595.101562 1616577493.9819
MEM 2601.285156 1616577494.0821
MEM 795.777344 1616577494.1825
MEM 1090.601562 1616577494.2828
MEM 1390.449219 1616577494.3831
MEM 1526.832031 1616577494.4834
MEM 1601.281250 1616577494.5836
MEM 1759.789062 1616577494.6839
MEM 1824.964844 1616577494.7842
MEM 1930.878906 1616577494.8865
MEM 2294.574219 1616577494.9950
MEM 2310.558594 1616577495.0962
MEM 2340.464844 1616577495.1965
MEM 2342.527344 1616577495.2968
MEM 2404.402344 1616577495.3971
MEM 2404.402344 1616577495.4973
MEM 2404.402344 1616577495.5976
MEM 2406.464844 1616577495.6978
MEM 2406.464844 1616577495.7980
MEM 2406.464844 1616577495.8983
MEM 2406.464844 1616577495.9985
MEM 2406.464844 1616577496.0988
MEM 2406.464844 1616577496.1991
MEM 2406.464844 1616577496.2993
MEM 2468.597656 1616577496.3996
